都道府県,年度,排出量合計,CO2排出原単位要因,エネルギー消費効率要因,一人当たり総生産要因,人口要因,CO2排出原単位要因_変化率,エネルギー消費効率要因_変化率,一人当たり総生産要因_変化率,人口要因_変化率,排出量増減,CO2排出原単位要因_増減,エネルギー消費効率要因_増減,一人当たり総生産要因_増減,人口要因_増減,排出量増減率
北海道,2011,54442.5,2.5926557110598536e-07,10990.76540786965,3.4810778881484885,5488473,0.0,0.0,0.0,0.0,0.0,,,,,0.0
北海道,2012,59666.1,2.9430579793373195e-07,10627.368020870079,3.4906471771360317,5465088,0.13515187025516193,-0.033063883497992816,0.002748944233658865,-0.004260747934808097,5223.5999999999985,7019.348796241757,-1717.2306264984843,142.7712273684359,-221.2893971117095,0.095947100151536
北海道,2013,58181.1,2.9569359002391626e-07,9960.177886447382,3.632542631063305,5438288,0.14050465228581957,-0.09376849411091456,0.043510874442219814,-0.009143709006129756,3738.5999999999985,6476.8084666329505,-4322.423255605517,2005.7100985147547,-421.495309542189,0.0686706157872985
北海道,2014,57911.2,2.9740744043679217e-07,9897.221724171148,3.636494970439247,5410214,0.14711505722915585,-0.09949659037536178,0.044646252478258,-0.014258792928379168,3468.699999999997,6541.784996822307,-4424.32823948575,1985.290901744122,-634.0476590806821,0.06371309179409464
北海道,2015,55974.5,2.9579005794331987e-07,9464.450563806717,3.7152590067177247,5381733,0.14087673377350837,-0.13887247952449752,0.06727258800112403,-0.01944803226689828,1532.0,4331.292603889638,-4269.671274571968,2068.3135891142892,-597.9349184319591,0.028139780502364882
北海道,2016,54412.8,2.891691166456993e-07,9545.850803019828,3.681421293973052,5354501,0.11533943906300487,-0.1314662401778887,0.05755211812601006,-0.024409703755489003,-29.69999999999709,-201.31988713577636,229.46850487386004,-100.45467551844153,42.60605778036074,-0.0005455296872846965
北海道,2017,54342.7,2.94710081692393e-07,9174.906187973647,3.77408574612378,5325162,0.13671121250387022,-0.1652168117969113,0.08417158920024514,-0.029755270728306398,-99.80000000000291,-526.5689043088577,636.3635722917713,-324.2026801412037,114.60801215828705,-0.0018331266933003243
北海道,2018,52843.5,2.918996104319549e-07,9004.95453360497,3.798096769287592,5293105,0.12587108726684368,-0.18067994362274278,0.09106917205685366,-0.035596057409775,-1599.0,-302996.3964503634,434932.0643627,-219221.36020361018,85686.6922912736,-0.02937043669926987
北海道,2019,50020.2,2.847123700347279e-07,8744.280225367931,3.8201512003603466,5259379,0.09814954920620807,-0.20439751911119697,0.09740468989971494,-0.04174093595796135,-4422.300000000003,8580.675674998702,-17869.351764242194,8515.556719443503,-3649.1806302000136,-0.08122881939661115
北海道,2020,45727.6,2.9133953803335635e-07,8238.149231435922,3.646658681387754,5224614,0.12371086060732471,-0.25044808748831904,0.04756595472999731,-0.0480751203476814,-8714.900000000001,8472.757128403242,-17152.785197227662,3257.71545060312,-3292.5873817787024,-0.16007530881204943
青森県,2011,13699.7,2.851960061263596e-07,10816.546077147634,3.257690925229052,1363230,0.0,0.0,0.0,0.0,0.0,,,,,0.0
青森県,2012,14758.6,2.897945717370154e-07,11378.317132234793,3.3145439290387606,1350371,0.016124228642312624,0.05193626977414042,0.01745193301470471,-0.00943274429113209,1058.8999999999996,224.42187068829566,722.8646453634551,242.90126003355402,-131.28777608530527,0.07729366336489117
青森県,2013,14499.5,2.9120105192543004e-07,11210.37533573707,3.322749015130999,1336726,0.021055855166533608,0.03640989053072017,0.01997061458412387,-0.019442060400666067,799.7999999999993,290.3815201982387,502.1291834950703,275.4149559049091,-268.125659598219,0.0583808404563603
青森県,2014,13761.3,2.930431461078647e-07,10693.394786210027,3.3200832233315642,1322706,0.02751490137638297,-0.011385454290052121,0.019152307427115906,-0.029726458484628418,61.599999999998545,305.0994791263492,-126.24781481111752,212.37070560959148,-329.6223699248246,0.004496448827346478
青森県,2015,13371.6,2.843913791841346e-07,10239.752771314274,3.5097950338807506,1308265,-0.0028213120974369616,-0.05332509118155237,0.07738736253316393,-0.040319681931882366,-328.10000000000036,-48.51857825108259,-917.0405541409873,1330.8434781537337,-693.3843457616639,-0.023949429549552204
青森県,2016,13294.0,2.818708026673221e-07,10294.536599739746,3.537339131347884,1295156,-0.01165936193918577,-0.04826027399917885,0.08584246097538235,-0.04993581420596671,-405.7000000000007,-196.9851860360753,-815.3584305441076,1450.3103371547886,-843.6667205746065,-0.029613787163222605
青森県,2017,12891.0,2.8091356334890547e-07,10199.457114386778,3.5101120544989146,1281787,-0.015015788038619046,-0.05705046309233535,0.07748467704993064,-0.059742669982321396,-808.7000000000007,-223.53312036282537,-849.2839670069521,1153.4786983360816,-889.3616109663047,-0.059030489718753014
青森県,2018,12890.1,2.82290816782925e-07,10351.328538099448,3.4798647897101342,1267655,-0.010186641050461954,-0.04300980513835761,0.06819979844019769,-0.07010922588264636,-809.6000000000004,-149.6592659003671,-631.88796303297,1001.9722613716839,-1030.0250324383471,-0.0590961845879837
青森県,2019,12482.4,2.852325428973444e-07,9850.759764459757,3.5467231372298555,1252570,0.0001281110892157176,-0.08928786562730182,0.08872303070939168,-0.08117485677398531,-1217.300000000001,1.9108762230880327,-1331.7977427402716,1323.372792010308,-1210.7859254931257,-0.08885596034949678
青森県,2020,11078.2,2.8172139300338557e-07,9057.325296033963,3.506988781761315,1237984,-0.012183246077557419,-0.16264163888973918,0.07652593884876749,-0.09187444525135156,-2621.5,-167.94347180882804,-2241.9806118942583,1054.8938905015325,-1266.4698067984466,-0.19135455520923814
岩手県,2011,11146.4,2.86117213705138e-07,9171.105067964976,3.231128257866649,1314664,0.0,0.0,0.0,0.0,0.0,,,,,0.0
岩手県,2012,12072.3,2.9754306944052e-07,9078.61750798987,3.422549859011688,1305782,0.03993417798048687,-0.01008466910908799,0.05924295969341223,-0.006756098896752326,925.8999999999996,449.0731804328837,-113.40547519581587,666.2068852594775,-75.97459049654574,0.08306717864063731
岩手県,2013,11633.8,2.963830450088056e-07,8340.541725636998,3.624346268445222,1298507,0.03587981013350412,-0.09056306041342473,0.12169681275301501,-0.01228983223089702,487.39999999999964,319.5655592495605,-806.6050221749423,1083.8995491225073,-109.46008619712612,0.04372712265843677
岩手県,2014,11138.5,2.9828431443352795e-07,7916.42044210175,3.6574897630200196,1289687,0.04252488192104691,-0.13680844528168015,0.13195437355831727,-0.018998770788581722,-7.899999999999636,-17.991958982931813,57.88262835383465,-55.82890696998455,8.038237599082088,-0.0007087490131342529
岩手県,2015,11268.5,2.9658914120186626e-07,8115.858422543621,3.658509652280333,1279594,0.03660013097820893,-0.1150621040323017,0.13227001849065018,-0.02667601759841298,122.10000000000036,164.70851419946626,-517.804381823342,595.2437228080389,-120.04785518416276,0.01095420943084766
岩手県,2016,10559.2,2.8718427841710646e-07,7828.554918149184,3.7044869615697387,1267829,0.00372946701860492,-0.14638913629998324,0.14649950912676696,-0.03562507226180986,-587.1999999999989,68.8981286854902,-2704.391137028168,2706.430163297925,-658.1371549552455,-0.05268068614081667
岩手県,2017,10088.7,2.866729270110309e-07,7295.482368974588,3.8454274417269856,1254440,0.0019422575059240708,-0.20451436169257406,0.19011909612833736,-0.04580942354852647,-1057.699999999999,35.25986999441922,-3712.767119332579,3451.434525285717,-831.6272759475563,-0.09489162420153582
岩手県,2018,10084.0,2.816018804821195e-07,7351.821234528543,3.9281432538079213,1239981,-0.015781410578364827,-0.19837127804709836,0.21571876456599598,-0.05680767100947466,-1062.3999999999996,-303.50627235746,-3815.053593840299,4148.678458485791,-1092.5185922880319,-0.09531328500681832
岩手県,2019,9489.4,2.8161926332931204e-07,7021.852611073324,3.915212889729435,1225658,-0.015720656291800035,-0.23435043443118694,0.2117169537288664,-0.06770246998472614,-1657.0,-245.61532013472979,-3661.4283722081354,3307.8089363984895,-1057.765244055624,-0.14865786262829256
岩手県,2020,9615.6,2.7349873983049403e-07,7550.258569741889,3.8466461908546146,1210534,-0.04410246315221048,-0.1767340452662315,0.19049628608502253,-0.07920655011470612,-1530.7999999999993,-616.2851637219455,-2469.670903555464,2661.9836278338666,-1106.8275605564568,-0.13733582143113465
宮城県,2011,17250.5,2.8615487418466234e-07,7232.530038903158,3.582964616510862,2326311,0.0,0.0,0.0,0.0,0.0,,,,,0.0
宮城県,2012,20088.8,2.82901857794131e-07,7967.937918497162,3.826561807633252,2328968,-0.01136802719087037,0.10168058419920943,0.06798760724564686,0.0011421516727557063,2838.2999999999993,-202.3670528636353,1810.0590201237294,1210.2761084703654,20.331924269539613,0.16453436132286017
宮城県,2013,20115.9,2.7783268004952737e-07,7833.952218595075,3.960962507944685,2333321,-0.029082832011327102,0.08315515821668464,0.10549863922516829,0.0030133546202549873,2865.4000000000015,-512.5583255459604,1465.5336398963154,1859.3170653933894,53.10762025625717,0.16610533028028182
宮城県,2014,19120.7,2.8015103319124645e-07,7196.18303199274,4.061927289173035,2334948,-0.02098108938567817,-0.00502548993435359,0.13367775680927402,0.0037127452004482634,1870.2000000000007,-352.2845346218642,-84.38086079453556,2244.526272262848,62.33912315355211,0.10841424886235186
宮城県,2015,18151.4,2.770562884091892e-07,6638.490874131793,4.228542451922727,2333899,-0.0317960188565638,-0.08213435154449125,0.1801797964838785,0.0032618166702560406,900.9000000000015,-412.0920911978565,-1064.5017176470228,2335.2190555553707,42.274753289509945,0.05222457320077687
